age,annual_income,employment_length,credit_score,credit_utilization,num_delinquencies,num_credit_lines,debt_to_income,months_since_last_delinq,loan_amount,interest_rate,loan_term,log_annual_income,log_loan_amount,log_dti,loan_to_income_ratio,monthly_payment_est,payment_to_income,utilization_x_delinq,credit_score_x_utilization,has_delinquency_history,credit_score_bin,dti_bin,age_bin,home_ownership_OWN,home_ownership_RENT,loan_purpose_debt_consolidation,loan_purpose_home_improvement,loan_purpose_medical,loan_purpose_other,loan_purpose_small_business,default
46,39529.04,2,668,0.0611,0,5,0.1636,79.5,25100.0,0.0848,60,10.584816168179923,10.130662964963708,0.15151864763890951,0.6349762098953073,514.72,0.15625575526246022,0.0,40.8148,1,1,1,2,1,0,0,0,0,1,0,0
34,43463.83,0,673,0.5537,1,4,0.3849,0.0,31000.0,0.1712,36,10.679707384312602,10.34177474101152,0.32562793486653496,0.7132367304031881,1107.09,0.30565829104338016,0.5537,372.64009999999996,0,2,2,1,0,1,0,1,0,0,0,1
37,50475.15,3,736,0.2548,0,7,0.3466,0.0,6000.0,0.0887,60,10.829256226477712,8.699681400989514,0.29758289712904346,0.11887037482800943,124.17,0.029520268884787863,0.0,187.5328,0,2,2,1,0,1,0,0,0,1,0,0
49,42909.47,3,640,0.5103,0,11,0.2533,0.0,25800.0,0.1235,36,10.666871131083358,10.158168529848494,0.22578007263533953,0.6012658744095417,861.25,0.24085592294661293,0.0,326.592,0,1,1,2,0,1,1,0,0,0,0,0
42,90396.09,2,732,0.1372,0,4,0.3234,0.0,12300.0,0.1173,60,11.411967355596664,9.417435838868785,0.2802041825958221,0.13606783213742984,271.93,0.03609846399329883,0.0,100.43039999999999,0,2,2,2,0,0,0,1,0,0,0,0
34,110211.27,5,771,0.2987,0,11,0.5236,40.6,11500.0,0.0969,60,11.610163512515483,9.350189267092581,0.4210759556223119,0.10434504565640156,242.59,0.02641363265299456,0.0,230.29770000000002,1,3,3,1,0,0,1,0,0,0,0,0
21,29399.36,2,583,0.413,0,12,0.278,0.0,12600.0,0.1581,36,10.288762198149763,9.441531454869693,0.24529635595534308,0.4285807582205871,441.8,0.1803304561731956,0.0,240.779,0,1,1,0,0,1,0,1,0,0,0,0
45,24354.97,5,710,0.3725,0,12,0.5687,0.0,17400.0,0.1053,36,10.100532272998358,9.76428295481558,0.45024725088005757,0.7144332347771317,565.79,0.27877184821003675,0.0,264.475,0,2,3,2,0,1,1,0,0,0,0,0
40,73439.92,2,826,0.0746,1,6,0.3933,54.1,13300.0,0.055,60,11.204236552449023,9.495594499353297,0.331675034137409,0.18110041514206443,254.05,0.04151148312797727,0.0746,61.6196,1,4,2,1,0,0,1,0,0,0,0,0
55,38640.59,1,798,0.2652,1,10,0.315,0.0,26800.0,0.055,60,10.562084436548178,10.196194479235656,0.2738366656297279,0.6935711902949723,511.91,0.158975833443537,0.2652,211.62959999999998,0,3,2,2,1,0,0,0,1,0,0,0
40,109710.8,1,747,0.3523,0,10,0.2153,0.0,29400.0,0.0692,36,11.605612206567839,10.288783966353765,0.19499095989461748,0.26797726386098725,906.71,0.09917455710832479,0.0,263.1681,0,3,1,1,0,0,1,0,0,0,0,0
57,65453.02,0,808,0.1,0,4,0.3175,0.0,9200.0,0.076,36,11.089103190383867,9.127067452782361,0.2757360014333804,0.1405588313572086,286.6,0.052544557913446935,0.0,80.80000000000001,0,4,2,3,0,0,1,0,0,0,0,0
34,77038.64,7,665,0.108,0,11,0.4607,0.0,13900.0,0.1206,36,11.252075373563892,9.539716058977092,0.37891577287462785,0.18042893799786705,462.08,0.0719763484921333,0.0,71.82,0,1,3,1,1,0,0,1,0,0,0,0
21,75485.06,7,600,0.2881,1,8,0.2022,0.0,28700.0,0.2047,36,11.231703282428246,10.264687244346277,0.1841532116229246,0.3802076861302091,1073.48,0.17065310672072065,0.2881,172.86,0,1,1,0,0,0,0,1,0,0,0,0
25,52466.93,10,779,0.2064,1,6,0.4391,48.9,18300.0,0.0855,36,10.867957404787619,9.814710982145282,0.3640179181939909,0.3487911337674989,578.11,0.13222271629005167,0.2064,160.7856,1,3,2,0,1,0,0,0,1,0,0,0
39,28504.16,7,526,0.1377,0,9,0.5137,74.5,8200.0,0.232,36,10.257840402500271,9.012011377036412,0.4145569847863825,0.28767730745266656,318.28,0.1339930732917581,0.0,72.4302,1,0,3,1,0,1,1,0,0,0,0,1
59,106816.82,5,661,0.5041,2,8,0.3202,17.4,10600.0,0.1613,36,11.578880045522247,9.268703615273097,0.27778324027253337,0.09923530769779515,373.35,0.04194283259883603,1.0082,333.2101,1,1,2,3,0,0,1,0,0,0,0,0
56,27542.25,10,603,0.3312,0,4,0.2763,0.0,26400.0,0.1912,36,10.223512775487023,10.181157167204903,0.243965267006508,0.9585273534297307,969.32,0.42232715192113934,0.0,199.71359999999999,0,1,1,2,0,0,1,0,0,0,0,0
42,15552.63,1,581,0.4146,0,10,0.3611,43.7,2700.0,0.176,36,9.652049330878853,7.901377353792616,0.30829319635589086,0.17360407853848514,97.07,0.07489665734991445,0.0,240.88260000000002,1,1,2,2,0,1,0,1,0,0,0,0
42,26452.09,2,586,0.5038,1,5,0.198,78.4,2300.0,0.1796,36,10.183128254659628,7.741099090035366,0.1806534996932576,0.08694965123738804,83.1,0.037698344440836244,0.5038,295.2268,1,1,1,2,0,0,1,0,0,0,0,0
39,54622.31,10,546,0.4738,1,9,0.2527,79.5,27800.0,0.2261,36,10.908215993704191,10.2328272702548,0.2253012218680092,0.5089495482706609,1070.49,0.2351764324870186,0.4738,258.6948,1,0,1,1,0,1,0,1,0,0,0,0
37,44823.15,10,700,0.167,0,8,0.1334,80.5,12500.0,0.1115,60,10.710502335661081,9.433563920090563,0.12522196475338182,0.27887375162165084,272.72,0.07301227156056636,0.0,116.9,1,2,0,1,0,0,0,0,1,0,0,0
36,47264.72,7,717,0.2145,0,8,0.4323,0.0,25900.0,0.0984,60,10.763540576002743,10.16203685698089,0.35928154380368243,0.5479774343315691,548.26,0.13919727018376496,0.0,153.7965,0,2,2,1,0,1,0,0,0,0,1,0
