loan_id,age,annual_income,employment_length,home_ownership,credit_score,credit_utilization,num_delinquencies,num_credit_lines,debt_to_income,months_since_last_delinq,loan_amount,loan_purpose,interest_rate,loan_term,default
LN-000001,45,62954.11,10,OWN,339,0.2949,0,11,0.1303,,11800.0,other,0.28,60,0
LN-000002,29,108207.49,0,MORTGAGE,617,0.0734,0,9,0.2429,,33300.0,debt_consolidation,0.1401,60,0
LN-000003,51,106883.81,2,MORTGAGE,722,0.6019,0,10,0.2112,77.2,10800.0,debt_consolidation,0.1217,60,0
LN-000004,53,39317.54,3,RENT,663,0.2856,1,6,0.4555,,18400.0,car,0.125,36,1
LN-000005,21,57896.4,5,RENT,732,0.6218,0,8,0.2424,,29100.0,small_business,0.0665,36,0
LN-000006,26,16840.45,5,MORTGAGE,768,0.2015,0,8,0.65,65.6,8000.0,home_improvement,0.113,36,0
LN-000007,43,54691.07,5,MORTGAGE,653,0.1379,3,11,0.3823,15.9,11200.0,debt_consolidation,0.1371,60,0
LN-000008,38,32003.69,10,OWN,645,0.5253,0,4,0.1982,,18700.0,other,0.1264,60,0
LN-000009,41,46081.67,2,RENT,505,0.5744,1,13,0.2864,,6200.0,home_improvement,0.2341,36,0
LN-000010,31,18746.77,7,RENT,556,0.156,0,8,0.5653,35.7,28800.0,debt_consolidation,0.2085,36,1
LN-000011,52,65704.54,5,MORTGAGE,572,0.2492,1,9,0.4665,18.2,8900.0,home_improvement,0.1815,36,1
LN-000012,51,18621.25,3,RENT,724,0.0221,1,5,0.221,82.9,17800.0,debt_consolidation,0.0723,36,0
LN-000013,42,56329.34,2,RENT,654,0.1522,1,2,0.1396,,12600.0,other,0.1302,36,0
LN-000014,55,24688.59,2,RENT,637,0.2693,0,11,0.2641,23.3,23500.0,other,0.1659,60,0
LN-000015,47,30952.7,2,RENT,628,0.6335,0,5,0.65,,23600.0,other,0.182,36,0
LN-000016,31,103036.57,7,MORTGAGE,617,0.1426,0,4,0.3029,,11700.0,home_improvement,0.2199,36,0
LN-000017,46,73331.88,3,OWN,753,0.0643,0,6,0.4928,16.7,10200.0,home_improvement,0.055,60,0
LN-000018,30,102695.33,1,MORTGAGE,687,0.1993,0,9,0.2316,,3900.0,medical,0.1268,36,0
LN-000019,52,131378.31,7,RENT,759,0.3525,0,9,0.2726,,18700.0,debt_consolidation,0.0743,36,0
LN-000020,41,32412.41,5,MORTGAGE,504,0.1119,2,8,0.3283,14.9,17400.0,other,0.2305,36,1
LN-000021,39,126675.38,10,MORTGAGE,722,0.0372,0,12,0.1901,41.4,32800.0,debt_consolidation,0.0738,36,0
LN-000022,33,21390.38,3,MORTGAGE,641,0.4133,1,6,0.3686,6.6,18900.0,home_improvement,0.1617,60,0
LN-000023,56,80632.75,5,MORTGAGE,657,0.3196,0,13,0.2024,,13400.0,debt_consolidation,0.1379,36,0
LN-000024,40,38330.35,3,OWN,788,0.3021,0,9,0.4724,,10100.0,debt_consolidation,0.0786,36,0
LN-000025,36,29490.4,5,RENT,648,0.3142,1,5,0.467,,14600.0,other,0.0908,36,1
LN-000026,37,74509.5,3,MORTGAGE,719,0.2875,0,5,0.5673,43.9,16500.0,medical,0.1201,36,0
LN-000027,48,90850.53,1,MORTGAGE,598,0.2112,0,12,0.2356,,11000.0,debt_consolidation,0.1428,36,0
LN-000028,46,89246.82,10,OWN,682,0.1595,0,8,0.4889,,9000.0,car,0.1324,36,0
LN-000029,46,58624.97,7,OWN,552,0.2691,0,8,0.2091,,30600.0,small_business,0.2421,60,0
LN-000030,47,55780.21,5,RENT,675,0.3281,0,6,0.4769,77.5,9700.0,other,0.0993,60,0
LN-000031,67,70694.28,3,MORTGAGE,710,0.0385,0,14,0.3412,80.3,21900.0,other,0.1087,36,0
LN-000032,37,61837.08,7,RENT,768,0.0896,0,10,0.2904,3.9,34500.0,car,0.0752,60,0
LN-000033,35,71311.54,1,MORTGAGE,614,0.4495,0,9,0.4889,29.7,26400.0,debt_consolidation,0.167,36,0
LN-000034,32,58244.19,2,RENT,637,0.278,0,7,0.1771,,22700.0,other,0.1253,36,0
LN-000035,49,85448.6,1,RENT,628,0.1189,1,7,0.2864,82.0,2900.0,home_improvement,0.1537,36,0
LN-000036,55,19412.56,1,OWN,659,0.5816,2,9,0.4089,75.9,33100.0,medical,0.1507,36,1
LN-000037,40,47630.85,0,MORTGAGE,602,0.0499,0,11,0.1221,,2700.0,small_business,0.1815,36,0
LN-000038,31,22464.51,7,MORTGAGE,507,0.7296,0,10,0.2037,83.6,18800.0,debt_consolidation,0.208,36,0
LN-000039,32,60841.12,1,RENT,596,0.0187,0,12,0.2243,53.5,33700.0,debt_consolidation,0.149,60,0
LN-000040,49,138020.58,7,RENT,676,0.1614,0,5,0.153,65.9,32300.0,debt_consolidation,0.1347,36,0
LN-000041,50,38775.7,10,RENT,668,0.1684,0,6,0.2348,31.6,13000.0,medical,0.1403,36,0
LN-000042,48,55622.95,1,RENT,724,0.29,1,8,0.6404,74.2,25800.0,debt_consolidation,0.1275,36,1
LN-000043,34,81136.81,7,OWN,747,0.1934,1,13,0.3901,43.5,25500.0,debt_consolidation,0.1076,36,0
LN-000044,44,14903.72,3,MORTGAGE,644,0.0387,0,8,0.2091,39.8,7700.0,debt_consolidation,0.184,36,0
LN-000045,43,37674.31,10,RENT,553,0.3979,1,8,0.4127,42.9,33600.0,other,0.1935,36,1
LN-000046,44,64132.68,3,MORTGAGE,712,0.3698,0,11,0.4864,,12300.0,home_improvement,0.1075,60,0
LN-000047,52,9061.62,2,RENT,679,0.3429,0,3,0.1688,,11000.0,other,0.1256,60,0
LN-000048,44,28678.84,2,RENT,659,0.1631,0,5,0.3153,24.9,5500.0,debt_consolidation,0.1232,60,0
LN-000049,50,99759.22,10,RENT,777,0.1858,0,7,0.2885,68.7,29100.0,debt_consolidation,0.0958,36,0
LN-000050,42,94070.35,1,RENT,716,0.3826,0,8,0.2633,73.2,17200.0,debt_consolidation,0.1285,36,0
LN-000051,45,64510.99,7,MORTGAGE,689,0.2846,0,5,0.2907,28.7,34500.0,home_improvement,0.1216,60,0
LN-000052,49,87493.4,1,MORTGAGE,693,0.3427,0,6,0.3784,80.3,29700.0,medical,0.1462,36,0
LN-000053,24,58633.56,5,MORTGAGE,747,0.0708,0,11,0.2123,,14600.0,car,0.0822,60,0
LN-000054,38,71914.77,3,MORTGAGE,624,0.2017,0,8,0.2956,84.0,27100.0,debt_consolidation,0.1454,60,0
LN-000055,36,42642.55,0,OWN,609,0.3876,2,10,0.0986,9.8,5100.0,debt_consolidation,0.1998,60,0
LN-000056,34,55242.49,1,MORTGAGE,661,0.3235,0,12,0.215,,28800.0,other,0.1517,60,0
LN-000057,38,35262.59,2,OWN,585,0.5619,1,11,0.1064,,28400.0,debt_consolidation,0.2047,36,0
LN-000058,59,109983.98,7,OWN,676,0.0942,2,5,0.2302,11.0,13000.0,medical,0.1359,36,0
LN-000059,31,128403.85,7,MORTGAGE,687,0.4617,0,7,0.15,,14700.0,debt_consolidation,0.1293,60,0
LN-000060,53,117941.93,1,RENT,674,0.5385,0,4,0.2714,,6100.0,debt_consolidation,0.1504,36,0
LN-000061,21,40341.45,3,RENT,651,0.3989,1,12,0.1797,,17300.0,debt_consolidation,0.1393,60,0
LN-000062,37,29077.95,0,MORTGAGE,812,0.2791,0,10,0.1898,50.9,5900.0,home_improvement,0.0628,36,0
LN-000063,43,110877.82,7,MORTGAGE,755,0.3486,0,7,0.2873,2.9,14100.0,debt_consolidation,0.1262,36,0
LN-000064,49,71420.79,7,MORTGAGE,672,0.3163,2,8,0.2252,30.5,21200.0,debt_consolidation,0.1426,60,0
LN-000065,50,62764.86,10,MORTGAGE,687,0.2988,1,8,0.2965,,24700.0,small_business,0.0931,36,0
LN-000066,51,35235.9,10,MORTGAGE,790,0.4323,0,4,0.1549,,20600.0,other,0.0639,36,0
LN-000067,37,66529.34,2,MORTGAGE,633,0.4133,0,7,0.2189,77.3,8500.0,car,0.1494,60,0
LN-000068,36,26871.81,1,MORTGAGE,602,0.3523,0,6,0.3784,81.1,33900.0,debt_consolidation,0.1703,60,0
LN-000069,52,75390.57,10,RENT,698,0.0497,0,9,0.3008,,17000.0,debt_consolidation,0.113,36,0
LN-000070,39,117869.34,1,MORTGAGE,713,0.1633,0,12,0.2514,13.1,34400.0,small_business,0.1223,36,0
LN-000071,26,137122.14,0,RENT,719,0.2459,0,10,0.1536,,29900.0,home_improvement,0.0895,36,0
LN-000072,28,78835.16,2,RENT,746,0.1343,0,10,0.1513,,28700.0,debt_consolidation,0.0916,36,0
LN-000073,30,22489.12,7,MORTGAGE,621,0.4798,0,12,0.2002,,29700.0,debt_consolidation,0.1666,36,0
LN-000074,47,58011.59,5,RENT,567,0.314,0,6,0.1674,,11700.0,home_improvement,0.2449,36,0
LN-000075,43,186057.13,10,OWN,633,0.2142,4,7,0.1899,,5400.0,debt_consolidation,0.1614,36,0
LN-000076,50,30602.38,2,MORTGAGE,726,0.5758,1,10,0.2035,,17300.0,debt_consolidation,0.0821,36,0
LN-000077,36,49736.34,2,MORTGAGE,606,0.2064,0,11,0.2206,,7400.0,debt_consolidation,0.1463,36,0
LN-000078,43,120344.6,2,RENT,525,0.2639,0,11,0.2951,,23100.0,debt_consolidation,0.2342,60,0
LN-000079,49,74628.69,7,MORTGAGE,691,0.3476,0,10,0.1649,81.9,24400.0,debt_consolidation,0.158,36,0
LN-000080,38,228226.49,1,MORTGAGE,634,0.1717,0,12,0.1865,40.3,6800.0,debt_consolidation,0.1274,60,0
LN-000081,47,33199.11,10,MORTGAGE,541,0.1221,1,5,0.1389,49.4,26400.0,debt_consolidation,0.2202,36,0
LN-000082,34,28456.92,3,MORTGAGE,685,0.0239,1,11,0.2705,4.6,6800.0,debt_consolidation,0.1061,60,0
LN-000083,37,107417.16,7,MORTGAGE,649,0.3539,0,11,0.4347,,15500.0,home_improvement,0.1457,60,0
LN-000084,37,25146.47,7,MORTGAGE,814,0.3112,0,7,0.3108,51.7,3500.0,small_business,0.0804,36,0
LN-000085,27,45795.41,3,MORTGAGE,687,0.354,1,7,0.1273,,5700.0,debt_consolidation,0.1232,60,0
LN-000086,47,49543.78,7,MORTGAGE,726,0.2326,1,4,0.1049,82.8,6600.0,debt_consolidation,0.094,36,0
LN-000087,36,95951.07,2,RENT,678,0.0541,2,12,0.65,,10200.0,debt_consolidation,0.1883,36,1
LN-000088,42,74500.48,7,OWN,632,0.3987,1,9,0.3869,31.2,34600.0,small_business,0.1957,36,0
LN-000089,47,67794.68,7,RENT,640,0.152,1,4,0.2777,,23300.0,debt_consolidation,0.1521,60,0
LN-000090,47,40479.12,5,RENT,766,0.1338,0,4,0.4181,,24600.0,home_improvement,0.085,36,0
LN-000091,49,106830.89,1,RENT,739,0.1028,0,13,0.2506,,10200.0,debt_consolidation,0.0889,36,0
LN-000092,40,576940.5,10,RENT,560,0.6043,0,7,0.269,83.0,8000.0,debt_consolidation,0.2068,36,0
